,index,0
65,['기름값'],16
66,"['16일', '국제유가', '상승']",15
67,"['최원철', '부동산', '경제뉴스']",14
68,"['연합뉴스', '시각', '헤드라인', '16', '00']",14
69,"['대우조선해양', '소난골', '드릴십', '1척', '인도']",14
70,"['23일', '국제유가', '상승']",13
71,"['7일', '국제유가', '하락']",13
72,"['10일', '국제유가', '상승']",13
73,"['3일', '국제유가', '상승']",13
74,"['20일', '국제유가', '상승']",13
75,[],13
76,"['25일', '국제유가', '상승']",12
77,"['한화건설', '이라크', '비스마야', '신도시', '사업여건', '개선']",12
78,"['14일', '국제유가', '상승']",12
79,"['4일', '국제유가', '상승']",12
80,"['19일', '국제유가', '상승']",12
81,"['9일', '국제유가', '상승']",12
82,"['30일', '국제유가', '하락']",12
83,"['28일', '국제유가', '하락']",12
84,"['12일', '국제유가', '상승']",12
85,"['6일', '국제유가', '하락']",12
86,"['국제유가', '美', '원유재고', '감소', '상승']",11
87,"['18일', '국제유가', '상승']",11
88,"['13일', '국제유가', '상승']",11
89,"['26일', '국제유가', '상승']",11
90,"['11일', '국제유가', '하락']",11
91,"['15일', '국제유가', '상승']",11
92,"['사내벤처', ""'폴리오컴퍼니'"", '분사']",11
93,"['오늘', '추천종목-한국투자증권]네이버·SK텔레콤', '등']",11
94,"['2일', '국제유가', '상승']",11
95,"['22일', '국제유가', '상승']",11
96,"['4일', '국제유가', '하락']",11
97,"['그래픽', '국제', '유', '추이']",11
98,"['뉴욕증시', '무역전쟁', '우려', '완화', '상승', '출발']",10
99,"['28일', '국제유가', '상승']",10
100,"['5일', '국제유가', '하락']",10
101,"['15일', '국제유가', '하락']",10
102,"['27일', '국제유가', '하락']",10
103,"['22일', '국제유가', '하락']",10
104,"['국제유가', '글로벌', '경기', '둔화', '우려', '하락세']",10
105,"['21일', '국제유가', '하락']",10
106,"['종목키워드', '오늘장', '공략주']",10
107,"['전남도', '도시가스', '소비자', '요금', '12.8', '인하']",10
108,"['아시아나항공(020560)', '종목알파', '분석', '외국', '기관', '실시간', '수급', '추', '매수']",10
109,"['6일', '국제유가', '상승']",10
110,"['26일', '국제유가', '하락']",10
111,"['29일', '국제유가', '상승']",10
112,"['[뉴스핌', '뉴스레터', '글로벌', '모닝뉴스', '25일']",9
113,"['국제유가', '하락']",9
114,"['뉴욕증시', '기업', '실적', '호조', '상승', '출발']",9
115,"['뉴욕증시', '주간', '실업', '지표', '개선', '상승', '출발']",9
116,"['국제유가', '美中', '무역전쟁', '우려', '하락세']",9
117,"['8일', '국제유가', '하락']",9
118,"['13일', '국제유가', '하락']",9
119,"['국제유가', '美', '원유', '재고', '감소', '상승세']",9
120,"['7일', '국제유가', '상승']",9
121,"['17일', '국제유가', '상승']",8
122,"['농협카드', '카드', '출시']",8
123,"['국제유가', '8주', '만', '최고치', '기록…WTI', '0.6%↑']",8
124,"['[뉴스9', '헤드라인']",8
125,"['1일', '국제유가', '하락']",8
126,"['특징주', '정유주', '국제유가', '급등', '강세']",8
