발표일	시간	발표	예측	이전	
2019년 04월 06일	02:00	1,025	 	1,006	
2019년 03월 30일	02:00	1,006	 	1,016	
2019년 03월 23일	02:00	1,016	 	1,026	
2019년 03월 16일	02:00	1,026	 	1,027	
2019년 03월 09일	03:00	1,027	 	1,038	
2019년 03월 02일	03:00	1,038	 	1,047	
2019년 02월 23일	03:00	1,047	 	1,051	
2019년 02월 16일	03:00	1,051	 	1,049	
2019년 02월 09일	03:00	1,049	 	1,045	
2019년 02월 02일	03:00	1,045	 	1,059	
2019년 01월 26일	03:00	1,059	 	1,050	
2019년 01월 19일	03:00	1,050	 	1,075	
2019년 01월 12일	03:00	1,075	 	1,075	
2019년 01월 05일	03:00	1,075	 	1,083	
2018년 12월 29일	03:00	1,083	 	1,080	
2018년 12월 22일	03:00	1,080	 	1,071	
2018년 12월 15일	03:00	1,071	 	1,075	
2018년 12월 08일	03:00	1,075	 	1,076	
2018년 12월 01일	03:00	1,076	 	1,079	
2018년 11월 22일	03:00	1,079	 	1,082	
2018년 11월 17일	03:00	1,082	 	1,081	
2018년 11월 10일	03:00	1,081	 	1,067	
2018년 11월 03일	02:00	1,067	 	1,068	
2018년 10월 27일	02:00	1,068	 	1,067	
2018년 10월 20일	02:00	1,067	 	1,063	
2018년 10월 06일	02:00	1,052	 	1,054	
2018년 09월 29일	02:00	1,052	 	1,053	
2018년 09월 22일	02:00	1,053	 	1,055	
2018년 09월 15일	02:00	1,055.0	 	1,048.0	
2018년 09월 08일	02:00	1,048.0	 	1,048.0	
2018년 09월 01일	02:00	1,048.0	 	1,044.0	
2018년 08월 25일	02:00	1,044.0	 	1,057.0	
2018년 08월 18일	02:00	1,057.0	 	1,057.0	
2018년 08월 11일	02:00	1,057.0	 	1,044.0	
2018년 07월 28일	02:00	1,048.0	 	1,046.0	
2018년 07월 21일	02:00	1,046.0	 	1,054.0	
2018년 07월 14일	02:00	1,054.0	 	1,052.0	
2018년 07월 07일	02:00	1,052.0	1,050.0	1,047.0	
2018년 06월 30일	02:00	1,047.0	 	1,052.0	
2018년 06월 23일	02:00	1,052.0	 	1,059.0	
2018년 06월 16일	02:00	1,059.0	 	1,062.0	
2018년 06월 09일	02:00	1,062.0	 	1,060.0	
2018년 06월 02일	02:00	1,060.0	 	1,059.0	
2018년 05월 26일	02:00	1,059.0	1,045.0	1,046.0	
2018년 05월 19일	02:00	1,046.0	 	1,045.0	
2018년 05월 12일	02:00	1,045.0	 	1,032.0	
2018년 05월 05일	02:00	1,032.0	 	1,021.0	
2018년 04월 28일	02:00	1,021.0	 	1,013.0	
2018년 04월 21일	02:00	1,013.0	 	1,008.0	
2018년 04월 14일	02:00	1,008.0	 	1,003.0	
2018년 04월 07일	02:00	1,003.0	 	993.0	
2018년 03월 30일	02:00	993.0	 	995.0	
2018년 03월 24일	02:00	995.0	 	990.0	
2018년 03월 17일	02:00	990.0	 	984.0	
2018년 03월 10일	03:00	984.0	 	981.0	
2018년 03월 03일	03:00	981.0	 	978.0	
2018년 02월 24일	03:00	978.0	 	975.0	
2018년 02월 17일	03:00	975.0	973.0	975.0	
2018년 02월 10일	03:00	975.0	 	946.0	
2018년 02월 03일	03:00	946.0	944.0	947.0	
2018년 01월 27일	03:00	947.0	934.0	936.0	
2018년 01월 20일	03:00	936.0	 	939.0	
2018년 01월 13일	03:00	939.0	 	924.0	
2018년 01월 06일	03:00	924.0	 	929.0	
